column_name,column_type,min,max,approx_unique,avg,std,q25,q50,q75,count,null_percentage
timestamp,BIGINT,0,2671199,2365011,1315439.7525673234,769770.05949866,645205,1289462,1970516,16468027,0.0
uid,BIGINT,13,32458754,6353477,16237589.216772234,9373751.643689819,8123495,16223473,24360721,16468027,0.0
campaign,BIGINT,73322,32452111,750,16983964.58268219,9700052.519962363,8852766,15583986,26823678,16468027,0.0
conversion,BIGINT,0,1,2,0.04895522699835263,0.2157744553349739,0,0,0,16468027,0.0
conversion_timestamp,BIGINT,-1,5262888,399531,94940.22091043451,478966.6519909274,-1,-1,-1,16468027,0.0
conversion_id,BIGINT,-1,32458519,635651,793885.2297718482,4064784.295490881,-1,-1,-1,16468027,0.0
attribution,BIGINT,0,1,2,0.02686563484502424,0.16169067411867272,0,0,0,16468027,0.0
click,BIGINT,0,1,2,0.3611582006757701,0.480336307987193,0,0,1,16468027,0.0
click_pos,BIGINT,-1,173,185,-0.8312658826707049,1.5322206668409197,-1,-1,-1,16468027,0.0
click_nb,BIGINT,-1,174,104,-0.6626016583528798,2.696254212204296,-1,-1,-1,16468027,0.0
cost,DOUBLE,1e-05,0.0583448264308,9195070,0.0002932555637007003,0.0008689671227129375,2.264376597418305e-05,7.633035038756461e-05,0.000235365493536106,16468027,0.0
cpo,DOUBLE,0.004,1.01631051174,682791,0.19642866936416667,0.11863821915411403,0.10638685488106571,0.1916186274335698,0.273341293083516,16468027,0.0
time_since_last_click,BIGINT,-1,2592000,1884528,271359.354858964,527310.8925273134,-1,-1,281820,16468027,0.0
cat1,BIGINT,138937,30763035,10,22027256.025785055,12107310.540402949,8966582,28928366,30763035,16468027,0.0
cat2,BIGINT,138937,32440053,61,14687226.016260114,9122111.836235613,9312274,9312274,26597095,16468027,0.0
cat3,BIGINT,577,32457986,2047,15233066.099507244,9847417.361110618,6384564,13654926,24231969,16468027,0.0
cat4,BIGINT,358249,32145478,20,28565108.8311063,2698653.383124146,29196072,29196072,29196072,16468027,0.0
cat5,BIGINT,138937,32440053,44,19339462.477010816,11746116.222517952,5824239,21613043,32440044,16468027,0.0
cat6,BIGINT,138937,32440053,32,15095114.739298217,13406408.729766257,1973606,5862229,29196072,16468027,0.0
cat7,BIGINT,150,32458469,67176,15233421.270833295,9002237.694126807,9250330,13486673,22654689,16468027,0.0
cat8,BIGINT,3225256,32440044,10,24815594.785916552,8254684.521921553,23442182,29196072,29196072,16468027,0.0
cat9,BIGINT,358246,32145483,32,23771149.185126975,7778014.981264229,18291877,29196072,29196072,16468027,0.0
