month,sessions,buying,orders,revenue,cvr_%,aov
2016-08,74759,1145,1241,154666.56,1.53,124.63
2016-09,71032,870,904,126031.24,1.22,139.42
2016-10,97506,872,919,113329.07,0.89,123.32
2016-11,113972,919,955,119013.87,0.81,124.62
2016-12,79124,1395,1450,154557.93,1.76,106.59
2017-01,64694,697,713,97877.79,1.08,137.28
2017-02,62192,708,733,108756.52,1.14,148.37
2017-03,69931,883,993,130964.27,1.26,131.89
2017-04,67126,928,959,158788.8,1.38,165.58
2017-05,65371,1115,1160,121711.48,1.71,104.92
2017-06,63578,946,971,121569.49,1.49,125.2
2017-07,71812,1031,1072,124499.28,1.44,116.14
2017-08,2556,43,45,8304.94,1.68,184.55
