business_segment,deals,fair_deals,fair_activated,revenue,fair_activation_%,revenue_per_deal,revenue_share_%
pet,30,26,16,40498.8,61.5,1350.0,6.1
health_beauty,93,77,41,88924.3,53.2,956.2,13.4
audio_video_electronics,64,45,26,49423.4,57.8,772.2,7.4
household_utilities,71,58,39,51280.9,67.2,722.3,7.7
bed_bath_table,22,17,10,15448.5,58.8,702.2,2.3
bags_backpacks,22,19,12,13933.8,63.2,633.4,2.1
sports_leisure,25,22,12,15591.5,54.5,623.7,2.3
construction_tools_house_garden,69,54,30,32007.1,55.6,463.9,4.8
home_decor,105,83,39,43809.3,47.0,417.2,6.6
fashion_accessories,19,15,6,7831.1,40.0,412.2,1.2
car_accessories,77,63,29,30006.0,46.0,389.7,4.5
food_supplement,28,21,7,10364.0,33.3,370.1,1.6
computers,34,25,10,11772.3,40.0,346.2,1.8
toys,20,15,10,5556.9,66.7,277.8,0.8
food_drink,26,20,9,3702.9,45.0,142.4,0.6
