,deals,fair_deals,fair_activated,revenue,fair_activation_%,revenue_per_deal,revenue_share_%
SR_1,51,40,20,135244.6,50.0,2651.9,20.3
SR_2,36,36,15,69115.0,41.7,1919.9,10.4
SR_3,32,32,14,53828.7,43.8,1682.1,8.1
SR_4,24,24,12,18593.7,50.0,774.7,2.8
SR_5,133,116,68,94760.7,58.6,712.5,14.3
SR_6,59,42,16,39925.5,38.1,676.7,6.0
SR_7,24,17,10,15813.6,58.8,658.9,2.4
SR_8,74,67,31,46917.3,46.3,634.0,7.1
SR_9,64,51,27,38984.9,52.9,609.1,5.9
SR_10,82,68,39,45099.0,57.4,550.0,6.8
SR_11,59,55,29,31159.4,52.7,528.1,4.7
SR_12,53,37,16,26467.5,43.2,499.4,4.0
SR_13,63,54,28,31193.1,51.9,495.1,4.7
SR_14,27,13,6,6792.7,46.2,251.6,1.0
SR_15,26,11,9,6037.8,81.8,232.2,0.9
