first_month,M+1,M+2,M+3,M+4,M+5,M+6
2017-01,0.28,0.28,0.14,0.42,0.14,0.42
2017-02,0.18,0.31,0.12,0.43,0.12,0.25
2017-03,0.44,0.36,0.4,0.36,0.16,0.16
2017-04,0.62,0.22,0.18,0.27,0.27,0.35
2017-05,0.46,0.46,0.29,0.29,0.32,0.41
2017-06,0.49,0.4,0.43,0.3,0.4,0.36
2017-07,0.53,0.35,0.24,0.29,0.21,0.32
2017-08,0.69,0.35,0.27,0.35,0.52,0.3
2017-09,0.7,0.55,0.27,0.45,0.22,0.22
2017-10,0.72,0.25,0.09,0.23,0.21,0.21
2017-11,0.57,0.37,0.17,0.17,0.18,0.11
2017-12,0.21,0.28,0.34,0.26,0.21,0.17
2018-01,0.34,0.37,0.29,0.29,0.16,0.18
2018-02,0.35,0.4,0.3,0.25,0.22,0.21
2018-03,0.4,0.3,0.3,0.12,0.12,0.0
2018-04,0.59,0.3,0.24,0.14,0.0,0.0
2018-05,0.52,0.26,0.18,0.0,0.0,0.0
