,revenue,orders,new_customers
2017-01,127545.67,750,718
2017-02,271298.65,1653,1628
2017-03,414369.39,2546,2503
2017-04,390952.18,2303,2257
2017-05,567066.73,3546,3451
2017-06,490225.6,3135,3037
2017-07,566403.93,3872,3753
2017-08,646000.61,4193,4057
2017-09,701169.99,4150,4005
2017-10,751140.27,4478,4328
2017-11,1153528.05,7289,7061
2017-12,843199.17,5513,5338
2018-01,1078606.86,7069,6843
2018-02,966510.88,6555,6288
2018-03,1120678.0,7003,6775
2018-04,1132933.95,6798,6582
2018-05,1128836.69,6749,6508
2018-06,1012090.68,6099,5879
2018-07,1027903.86,6159,5949
2018-08,985414.28,6351,6144
