origin,leads,deals,activated,revenue,median_days_to_close,lead_share_%,revenue_share_%,lead_to_deal_%,activation_%,revenue_per_lead
organic_search,2296,271,111,204509.79,14.0,28.7,30.76,11.8,40.96,89.07
paid_search,1586,195,100,151444.15,15.0,19.82,22.78,12.3,51.28,95.49
social,1350,75,31,43394.2,30.0,16.88,6.53,5.56,41.33,32.14
unknown,1159,193,84,210893.97,11.0,14.49,31.72,16.65,43.52,181.96
direct_traffic,499,56,31,21852.9,10.0,6.24,3.29,11.22,55.36,43.79
email,493,15,6,8484.99,21.0,6.16,1.28,3.04,40.0,17.21
referral,284,24,9,16578.25,18.5,3.55,2.49,8.45,37.5,58.37
other,150,4,2,6776.75,9.0,1.88,1.02,2.67,50.0,45.18
display,118,6,2,923.0,8.5,1.48,0.14,5.08,33.33,7.82
other_publicities,65,3,0,0.0,35.0,0.81,0.0,4.62,0.0,0.0
